variable,M_present,M_absent,t,df,p,d
overall_mean_threshold,0.40013412225959705,0.37229497136352024,1.4967541710701946,129.87553743979487,0.1368835086750015,0.2234386061426514
mean_confidence,4.585251798561151,4.678125,-1.0252594231790224,129.2766378956467,0.30715541193395896,-0.15319632795157703
MAIA_total_z,0.05661315896990594,-0.09863563409551582,0.9699850357059252,109.7652648318288,0.33418649531188305,0.15100500816576953
Awareness_ses1,0.28000168773577644,0.30053231317234097,-0.750531147547103,127.06598364064608,0.4543224461789451,-0.1125386765871166
