group,metric,r,ci_lo,ci_hi,t_stat,df,p,n
visual-first,Belt-pacer correlation,0.2877124634410833,0.06657542675269983,0.4819083605188069,2.584267186602803,74,0.011729418981745541,76
visual-first,Direction correct,0.27387366965295407,0.0500210783402514,0.4715259904884044,2.433001843134408,73,0.017424230758998162,75
visual-first,Mean absolute error,-0.28396910933887454,-0.4799951910125915,-0.060934502137326804,-2.5304010684979295,73,0.013549309242514393,75
breath-first,Belt-pacer correlation,0.2438176241783098,0.03237590350830209,0.4343703439061247,2.29040621032275,83,0.02453440471859457,85
breath-first,Direction correct,0.07014346372715903,-0.14515051215772365,0.279095278399209,0.640615257865572,83,0.5235374386219775,85
breath-first,Mean absolute error,-0.19952380189487895,-0.39581645228150636,0.014204294926439532,-1.855047828191897,83,0.06713986135397079,85
