effect,term,estimate,std.error,statistic,df,p.value,model_label,group_label,partial_r
fixed,(Intercept),0.3681301537332504,0.012482774385582355,29.491052418478535,479.2287947730334,9.136549340732114e-110,MAIA + Salience + Direction,breath,0.8029568161352374
fixed,MAIA_total_z,0.009752648321063224,0.009005462753483394,1.082970257946024,181.3268207299114,0.28025961407156397,MAIA + Salience + Direction,breath,0.08016513295968
fixed,SalienceHigh,-0.06831173473776875,0.011712722158719033,-5.832268008416558,541.066874297427,9.414188506154278e-9,MAIA + Salience + Direction,breath,-0.24320500086658864
fixed,DirectionSlower,0.08464202380394957,0.011712743806801344,7.226489813155456,541.0637980514119,1.6959060113767508e-12,MAIA + Salience + Direction,breath,0.2966848444800693
fixed,(Intercept),0.36806812224753205,0.012480587917180784,29.491248704786518,479.6090324323702,8.463995411195452e-110,MAIA + MSES + Salience + Direction,breath,0.8028455720149371
fixed,MAIA_total_z,0.012431278591463396,0.010199105188517058,1.2188597295240657,181.03424300212768,0.22448329213416818,MAIA + MSES + Salience + Direction,breath,0.09021913575567236
fixed,MSES_total_z,-0.0012044266510566972,0.015219436199995372,-0.07913740267573535,182.81973940093616,0.9370098883075131,MAIA + MSES + Salience + Direction,breath,-0.005852788239351124
fixed,MSES_selfdoubt_z,0.005143705458845514,0.01497712546604915,0.3434374286644995,182.19352469631656,0.731665387810041,MAIA + MSES + Salience + Direction,breath,0.025435520119431544
fixed,SalienceHigh,-0.06829813110901155,0.011712739381754754,-5.8310979936428335,541.0634890449558,9.476540413319226e-9,MAIA + MSES + Salience + Direction,breath,-0.2431598120877954
fixed,DirectionSlower,0.08463269978058777,0.011712804610497288,7.225656245024182,541.0541419941934,1.705455486460491e-12,MAIA + MSES + Salience + Direction,breath,0.29665604820499547
