model,acme,acme_lower,acme_upper,p_acme,ade,p_ade,total,prop_med,note
Hits (Accuracy=1),-0.06378322861334836,-0.09572062139891795,-0.028782694555285395,0,0.016303535823675146,0.712,-0.04747969278967321,1.0209628315822075,Selection bias caveat: hits have larger |Change| than misses
Misses (Accuracy=0),0.0013262930704860296,-0.003450883001460536,0.006241059200545671,0.55,0.0037710982559515916,0.91,0.0050973913264376215,0.009842380851242293,Selection bias caveat: hits have larger |Change| than misses
