study,n,b_raw,se_raw,t_val,df_resid,r_partial,se_r,p_value
Study1_TaskA,181,-5.3800689739000065,0.9603868815062071,-5.601980907384181,2551.0331017763806,-0.11023730362389556,0.019562173221587167,2.346170627869923e-8
Study2,166,-5.0634712968976965,0.7261815768036911,-6.972734449123193,4007.0649184985846,-0.10948914743504386,0.015610013679363568,3.619649038958571e-12
Study3,103,-1.0431047087257197,0.04962192060200719,-21.021046667901977,12667.61701291718,-0.18359516886901436,0.008585753787343884,1.8510520245061926e-96
Study4,126,-0.2720499357063573,0.04985186016240693,-5.457167191356061,5109.323861470203,-0.07612433881772045,0.013910308714299437,5.06613127948619e-8
Study5,206,-0.31596693516419383,0.05458224587671627,-5.788822539069965,9896.356325816243,-0.05809229376498703,0.010018810972068014,7.3038283429529674e-9
