effect,term,estimate,std.error,statistic,df,p.value,model_label,group_label,partial_r
fixed,(Intercept),4.675940223551751,0.0681017444198071,68.66109324200768,108.12331450652016,5.274850699598695e-91,MAIA*Condition + MSES,visual-first,0.9887260804043047
fixed,MAIA_total_z,0.16784798011744026,0.0841607742132664,1.9943730518935996,101.85122705015604,0.048783815437774214,MAIA*Condition + MSES,visual-first,0.19386730012942172
fixed,Conditionbreath,-0.09488567561301041,0.042648416682688206,-2.2248346596071005,88.99999972252274,0.028620828549044252,MAIA*Condition + MSES,visual-first,-0.22953536407043543
fixed,MSES_total_z,0.01990693045389468,0.10846463977439319,0.1835338272021293,89.00000083275053,0.8547966693705218,MAIA*Condition + MSES,visual-first,0.019450866155627203
fixed,MSES_selfdoubt_z,0.11734233383972006,0.09150146609241723,1.2824093301543753,89.00000086192851,0.20302922316277205,MAIA*Condition + MSES,visual-first,0.13469632960164454
fixed,MAIA_total_z:Conditionbreath,0.02001273231955384,0.04378530279482951,0.45706506617825854,88.99999971392485,0.6487379647713001,MAIA*Condition + MSES,visual-first,0.04839203850166034
fixed,(Intercept),4.595575842728924,0.05178240373502685,88.74782766448456,318.40183495367336,1.2520953426920672e-226,MAIA*Condition + MSES,full-sample,0.980379936393791
fixed,MAIA_total_z,0.1369951178582162,0.057569408846596684,2.379651287079612,321.8688881484588,0.017911308700302414,MAIA*Condition + MSES,full-sample,0.1314881751896639
fixed,Conditionbreath,0.039378935551425895,0.05714414140894581,0.6891158845071246,220.74156218595868,0.4914740411301074,MAIA*Condition + MSES,full-sample,0.04633226785566709
fixed,MSES_total_z,0.008398977337467263,0.07112811153505971,0.11808238903302427,198.13029205877967,0.9061220023062259,MAIA*Condition + MSES,full-sample,0.00838869510966283
fixed,MSES_selfdoubt_z,-0.012981477109201188,0.06970779887506212,-0.1862270408576234,197.11333618199123,0.8524582322988318,MAIA*Condition + MSES,full-sample,-0.01326314556745302
fixed,sesses2,-0.1564357309080504,0.04482851357846217,-3.489647958865401,194.23799147485195,5.984033234558687e-4,MAIA*Condition + MSES,full-sample,-0.24289038461294268
fixed,MAIA_total_z:Conditionbreath,0.02261492707905241,0.04089544762740655,0.55299375336576,176.95569403932686,0.5809656113087791,MAIA*Condition + MSES,full-sample,0.04153488575684821
