study,n,b_Change,se_Change,z_Change,p_Change,b_Change2,se_Change2,z_Change2,p_Change2,lrt_p_linear,lrt_p_quad,OR_Change,OR_Change_lower,OR_Change_upper,OR_Change2,OR_Change2_lower,OR_Change2_upper
Study1_TaskA,181,0.978622871280031,0.14715238059718846,6.650404616687043,2.9228837174425e-11,4.339624063812527,0.42485001480131135,10.214484906731213,1.7078378509542522e-24,2.18494057166005e-9,8.514214364631743e-31,2.6607894681048254,1.9941227021122938,3.5503334805216404,76.67870761818938,33.345340077975465,176.32521330556926
Study1_TaskB,181,1.0438791902208548,0.17211063048011133,6.0651639431504085,1.3181912064762391e-9,6.410403047534778,0.4783815217407121,13.400189506084823,6.030896574090761e-41,2.958693156346624e-7,2.5883195974689404e-44,2.840213400072714,2.026970582382686,3.9797381511428456,608.1387404930156,238.1201230218231,1553.1351277461633
Study2,166,0.8260792335273981,0.10323197648634717,8.002164267741694,1.2225114300393535e-15,3.782223053198141,0.2535320649981483,14.918125063296294,2.5123402830847465e-50,1.9947261735329514e-10,1.730005925337934e-57,2.2843447769395806,1.8659019576904161,2.796626606464461,43.91355547624153,26.71700371061184,72.17876583215026
Study3,103,0.26552794506186417,0.04111596430314511,6.458025478963483,1.0607788557254574e-10,2.9671177323931546,0.13303428367191725,22.303406689590766,3.4241531388956385e-110,2.0694056816604377e-10,4.860833513734438e-114,1.3041192974075266,1.2031470372814157,1.413565498788575,19.43581955408849,14.974826177119228,25.225740671118633
Study4,131,-0.7942680156749434,0.06918177517965453,-11.480885155264525,1.6458683468340326e-30,1.2336048865789815,0.1390072478808595,8.874392561431625,7.031612890591844e-19,1.0904593272584196e-19,7.685248500448452e-20,0.45191190631641925,0.39460725690537124,0.5175383054841135,3.4335849372581437,2.614703431927038,4.508926472275724
Study5,206,-1.0019838398121461,0.06013193778765779,-16.663089144913695,2.4313551211853554e-62,2.4701784942544545,0.14810077090445084,16.67903873267562,1.8619088199183353e-62,1.711741948398043e-30,4.21999782551109e-69,0.3671503507284187,0.3263312080108081,0.413075356358612,11.824557278826934,8.845430369870874,15.807049402198857
