analysis,r,ci_lower,ci_upper,p_value,n
HBD-1 zero-order,-0.01591019339981211,-0.18252974389982185,0.15159769178089852,0.8530610959563034,138
HBD-1 partial|HR,-0.012673560121977973,-0.17939846459020434,0.15475902749291767,0.882711861956118,138
HBD-2 MAIA zero-order,-0.07668339901433706,-0.24372866106568208,0.09478061723534902,0.3803231593501927,133
HBD-3 confidence zero-order,0.02728410736024836,-0.14046113488249132,0.19350668800061052,0.7507432758185866,138
HBD-3 confidence partial|threshold,0.0277537366480946,-0.14000039178204282,0.19395903352045646,0.746597344722625,138
