analysis,estimate,ci_lower,ci_upper,p_value
Zero-order,0.02728410736024836,-0.14046113488249132,0.19350668800061052,0.7507432758185866
Partial (|threshold),0.0277537366480946,-0.14000039178204282,0.19395903352045646,0.746597344722625
Regression β_confidence,0.00886873699285497,-0.04550194991416222,0.06323942389987215,0.7475021504750206
