schandry_var,n,r_threshold,p_threshold,r_confidence,p_confidence,r_maia,p_maia
mean_schandry,138,-0.01591019339981211,0.8530610959563034,0.02728410736024836,0.7507432758185866,-0.07668339901433706,0.3803231593501927
schandry_25s,136,0.005027731038202025,0.953675281698545,0.10048587372836938,0.2444285417397632,-0.07231656840936258,0.41173534170280857
schandry_25_35s,137,-0.005611512271800964,0.9481104909183684,0.060293141518616394,0.483999722053574,-0.09461400565275759,0.28053601525031857
