study,n_nochange,n_miss,n_subj,b_miss,se_miss,t_miss,p_miss,BF10_multilevel,BF01_multilevel,BF10_person,BF01_person,n_person_bf
Study1A,905,402,181,-0.511094553157956,0.3665727229781816,-1.3942514571341316,0.16351376789691727,0.116138435626597,8.61041389618123,0.18522425567861117,5.398860944730336,169
Study2,1330,618,166,-0.20909875697788538,0.32103285987016483,-0.6513313218542522,0.5149160734265974,0.04913684751111115,20.351325952969884,0.09011570699064275,11.09684463890225,164
Study4,1056,1588,131,-0.050128824498600656,0.03185551165611601,-1.5736311204085247,0.11569808971153882,0.10641409340882332,9.39725151026927,0.21707427069990284,4.606718229552239,131
Study5,2003,2522,185,-0.023699601848665677,0.02607331142642089,-0.9089601800502463,0.3634214500677184,0.03345997762856156,29.886451542226865,0.1849964340619071,5.405509598446425,185
