study,H3A_r,H3A_CI_lower,H3A_CI_upper,H3A_df,H3A_p,H3B_r,H3B_CI_lower,H3B_CI_upper,H3B_df,H3B_p,H3B_BF01,n,n_Threshold,r,r_Threshold_MAIA,yi,vi
Study1A,0.1896821396149721,0.045071356420428706,0.3265065643820271,179,0.01054295565092765,0.09405183127560615,-0.0525264919469322,0.2366629984261846,179,0.20789850146685734,2.684,181,181,0.1896821396149721,0.09405183127560615,0.1896821396149721,0.005162977127024896
Study2,0.36506933191816215,0.22527489355535876,0.490135429483636,164,1.3246652315123344e-6,0.005983258664689257,-0.1464717369234748,0.15816061873319168,164,0.9390156906619824,5.541,166,166,0.36506933191816215,0.005983258664689257,0.36506933191816215,0.00455279488424819
Study3,0.25844627299476824,0.06431586433268116,0.43372908931472565,97,0.009797680525851825,-0.18710645072005117,-0.3708212433595655,0.010700625177260004,97,0.0636740632005677,0.849,103,NA,0.25844627299476824,NA,0.25844627299476824,0.008537966176251632
Study4,0.23917509449023117,0.07054362557433615,0.3945157288947282,129,0.0059359693626090575,0.10434046557076614,-0.06840935487472911,0.271015580973274,129,0.23561206449198746,2.522,131,131,0.23917509449023117,0.10434046557076614,0.23917509449023117,0.006837407146214031
Study5,0.25816302342445363,0.12420598658457108,0.38287811915625264,199,2.15440192260849e-4,0.08297556635451578,-0.05606294359658443,0.21885706534720692,199,0.24157247742026444,3.129,206,206,0.25816302342445363,0.08297556635451578,0.25816302342445363,0.0042494911323238535
