study,n,H4A_chi2,H4A_df,H4A_p_LRT,H4B_b,H4B_SE,H4B_t,H4B_df,H4B_p,H4B_partial_r,H4C_b,H4C_SE,H4C_t,H4C_df,H4C_p,H4C_partial_r
Study1A,181,482.97917237023285,2,1.3255779847878997e-105,-5.3800689739000065,0.9603868815062071,-5.601980907384181,2551.0331017763806,2.346170627869923e-8,-0.11023730362389556,NA,NA,NA,NA,NA,NA
Study2,166,709.4875544560346,2,8.644404094101765e-155,-5.0634712968976965,0.7261815768036911,-6.972734449123193,4007.0649184985846,3.619649038958571e-12,-0.10948914743504386,NA,NA,NA,NA,NA,NA
Study3,103,523.1743080818269,2,2.4782348690335472e-114,-1.0431047087257197,0.04962192060200719,-21.021046667901977,12667.61701291718,1.8510520245061926e-96,-0.18359516886901436,NA,NA,NA,NA,NA,NA
Study4,131,258.26236861632424,2,8.299256998134356e-57,-0.2720499357063573,0.04985186016240693,-5.457167191356061,5109.323861470203,5.06613127948619e-8,-0.07612433881772045,0.17284887901303728,0.046177972170494803,3.7431024120084304,5110.413820473465,1.8375853295950355e-4,0.05228885771024144
Study5,206,279.4722185487044,2,2.0576846580380522e-61,-0.31596693516419383,0.05458224587671627,-5.788822539069965,9896.356325816243,7.3038283429529674e-9,-0.05809229376498703,0.1569886597882195,0.048495229132803144,3.2371980212385307,8040.569584359034,0.0012119896348589223,0.03607804786255334
