measure,value
MRC_A_mean,0.3955416666666667
MRC_B_mean,0.39704083246492256
cross_task_r,0.23012450348482413
cross_task_p,0.0018851552379187124
CV_TaskA,0.08903561087698415
CV_TaskB,0.26370392277494503
stability_t,-21.859120830761235
stability_p,2.0508362929643663e-52
N,180
