study,task_feature,questionnaire,n_s4,r_s4,t,p_s4,ci_lower,ci_upper,p_bh_s4,r_s5,p_s5,p_bh_s5,n_s5,same_direction,replicated,sig_s4,sig_s5
Study4,slope_miss_dec,MAIA_SelfReg,62,0.14948392775553407,1.1710553208480723,0.2462063711849437,-0.10417374029645884,0.38488204659704295,0.9903863843384291,-0.0829069851752731,0.27958636402564957,0.7791059902251557,172,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_dec,MAIA_EmoAware,62,0.14578122655955056,1.1414103811489185,0.2582342800128735,-0.1079163748376115,0.38165287007860915,0.9903863843384291,-0.02864908598766942,0.7090992689058466,0.962396519053323,172,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_dec,SPANE_Pos,62,0.14558203139925588,1.1398169662701685,0.2588924107072671,-0.10811751467477584,0.3814789858832375,0.9903863843384291,-0.13059138524955496,0.08772517805693494,0.548237048417462,172,FALSE,FALSE,FALSE,FALSE
Study4,mean_arousal_overall,SPANE_Neg,63,-0.14407371499922875,-1.1371152569526024,0.2599372362285187,-0.37833358981172055,0.10752974574224763,0.9903863843384291,-0.0765393352904545,0.3057878309842593,0.7804933825129019,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_acc,PHQ4_Depression,58,0.14951880110856525,1.1316168914764124,0.26261821366091836,-0.11314670807375773,0.3926503886861179,0.9903863843384291,0.020737139788631773,0.788381241974863,0.962396519053323,170,TRUE,FALSE,FALSE,FALSE
Study4,slope_hit_acc,MAIA_EmoAware,63,-0.14320124990247515,-1.1300846312189419,0.26286463110263325,-0.3775700000680991,0.10841020546919407,0.9903863843384291,-0.008645584122528374,0.9080402962824167,0.9919155043727604,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,SPANE_Pos,63,-0.14198134646395758,-1.120258732905127,0.26699487299603863,-0.37650179429785213,0.10964062572623341,0.9903863843384291,-0.1349721746333144,0.07084003055811895,0.548237048417462,180,TRUE,FALSE,FALSE,FALSE
Study4,arousal_salience_diff,BIPS_total,63,0.14034571721555625,1.107092473538507,0.272600602867303,-0.11128914654159681,0.3750685798774476,0.9903863843384291,-0.11625158525095777,0.1191246541114433,0.548237048417462,181,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_dec,MAIA_BodyListen,62,0.14014351630222424,1.0963668335421033,0.27729931308844263,-0.11360111086332342,0.37672506311958037,0.9903863843384291,-0.07330797284712812,0.33922326675552605,0.8011669822807236,172,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_dec,MAIA_NotDistracting,62,-0.13996674788988583,-1.094956292932831,0.27791181620243105,-0.3765703366637444,0.11377908551759904,0.9903863843384291,0.03041534297630674,0.6920486159340107,0.962396519053323,172,FALSE,FALSE,FALSE,FALSE
Study4,thresh_salience_diff,MAIA_NotDistracting,62,0.13988350302125824,1.094292069462306,0.2782005706650008,-0.11386289279697949,0.3764974673566175,0.9903863843384291,0.08591758815173643,0.25013457610339557,0.7731432352286772,181,TRUE,FALSE,FALSE,FALSE
Study4,arousal_conf_r,MAIA_Trusting,61,-0.1361716457964757,-1.055788655712165,0.29536895082915626,-0.375128898092027,0.11975561434828186,0.9903863843384291,-0.10095168075546494,0.18631312361684227,0.6573561424781281,173,TRUE,FALSE,FALSE,FALSE
Study4,slope_hit_overall,MAIA_Noticing,63,-0.13228141460010065,-1.042310490627614,0.3013811550600752,-0.3679858192817069,0.11939681407711566,0.9903863843384291,-0.10896465924830574,0.14424487180487397,0.5944637141049351,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_Confidence,BIPS_total,63,-0.1314165432374777,-1.0353755805527838,0.30458077001867717,-0.36722458773870137,0.12026434777266756,0.9903863843384291,0.07746317405399679,0.299969624408031,0.7804933825129019,181,FALSE,FALSE,FALSE,FALSE
Study4,miss_rate,PHQ4_Anxiety,63,-0.13024424787180278,-1.025979449993415,0.3089526809763423,-0.36619226710611047,0.12143963849842875,0.9903863843384291,0.003697862029265949,0.9605964305560863,0.9962431358547761,181,FALSE,FALSE,FALSE,FALSE
Study4,slope_hit_overall,MAIA_Trusting,63,-0.13020674629138637,-1.0256789414462728,0.30909320223502956,-0.3661592337103206,0.12147722425470148,0.9903863843384291,-0.0942184357502267,0.20709063542235967,0.6954154670973065,181,TRUE,FALSE,FALSE,FALSE
Study4,thresh_direction_diff,MAIA_Trusting,63,0.1298124075000031,1.0225192874010243,0.3105733130954001,-0.12187240448469323,0.36581184302572767,0.9903863843384291,0.10147284889412725,0.17407354981829484,0.6573561424781281,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_arousal_overall,MAIA_NotWorrying,63,-0.1294820964326404,-1.0198730377314147,0.3118166071587761,-0.3655208066074427,0.12220335896717498,0.9903863843384291,-0.1061539921145869,0.15494400490349264,0.6228045960270737,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_acc,MAIA_NotDistracting,58,-0.13370518634646333,-1.009623250276964,0.3170184572504357,-0.37891494976823076,0.12904729957186814,0.9903863843384291,-0.046745743152162296,0.5449636136526896,0.9574311391542774,170,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,MAIA_total,63,0.1273178557128401,1.00254296804748,0.32004186276927327,-0.1243704315288534,0.3636127559071327,0.9903863843384291,-0.047856090348171704,0.5235065875679658,0.9574311391542774,180,FALSE,FALSE,FALSE,FALSE
