Group,ses,M,SD,n
breath,Awareness_ses1,0.2723011456699024,0.19114124840397714,95
breath,Awareness_ses2,0.2641971106580511,0.1805633185680839,67
visual,Awareness_ses1,0.29642450682150323,0.17757351485034611,111
visual,Awareness_ses2,0.28650368162724876,0.19039790339223664,90
