factor,level,r,ci_lower,ci_upper,p_value,n,condition
Salience,Simple effects,0.08246510142019602,-0.056575295261272564,0.2183676473107315,0.2444903484610291,201,Salience Simple effects
Salience,Simple effects,0.06459990110840441,-0.07446051498386833,0.20119587052795204,0.3622417745237846,201,Salience Simple effects
Direction,Simple effects,-0.07013887649956377,-0.2065288497895226,0.06892488488145541,0.3224638088294278,201,Direction Simple effects
Direction,Simple effects,0.14069525980247294,0.0023462264450759707,0.27375947530008254,0.046351353185338916,201,Direction Simple effects
Salience×Direction,Cells,-0.033808080451472836,-0.1714008378298327,0.10507828396307654,0.6337473068933706,201,thresh_ses1_High_Faster
Salience×Direction,Cells,0.11839960572041273,-0.020681136063716687,0.2529848684777873,0.09495765174407722,200,thresh_ses1_High_Slower
Salience×Direction,Cells,-0.08129270964491558,-0.21724333535496929,0.05775174314007952,0.2512845632616418,201,thresh_ses1_Low_Faster
Salience×Direction,Cells,0.12920145647546305,-0.009713681739899602,0.2632240383341312,0.06824560647385201,200,thresh_ses1_Low_Slower
