Model,Covariates,ACME,ACME_lower,ACME_upper,p_ACME
M0,None,-0.02967702632591695,-0.040628685294556446,-0.017340581377655536,0
M2,Fatigue,-0.026940374610856216,-0.03864145880668595,-0.015305111064669712,0
M3,Fatigue + Salience,-0.02720461861037638,-0.0393646522877524,-0.01539192831176713,0
