outcome,r,ci_lower,ci_upper,p_value,n
Awareness_ses1,-0.004599174551925895,-0.14290293448538266,0.13388075860753565,0.9483346517467427,201
Threshold,-0.06999475779892748,-0.20639019351207424,0.06906902512972243,0.3234615354241832,201
Confidence_ses1,-0.04786781847222067,-0.185036732147091,0.09113060806557959,0.4998041968724455,201
