study,task_feature,questionnaire,n,r,t,p,ci_lower,ci_upper,p_bh
Study4,mean_Confidence,MAIA_Noticing,63,0.37451817441093227,3.1546793603923,0.00249451315771483,0.13971791752334756,0.5694431493780406,0.3867662085438974
Study4,slope_miss_overall,MAIA_Trusting,63,0.36255899277842113,3.0384069631350368,0.003498539481272936,0.1261235696709893,0.5600179283048032,0.3867662085438974
Study4,mean_Confidence,MAIA_total,63,0.3470545056159742,2.8902243482348684,0.005325067849298238,0.10863037862416985,0.5477220322391748,0.3867662085438974
Study4,mean_Confidence,MAIA_Trusting,63,0.3412977564504223,2.8359017493718444,0.0061919297734642454,0.10217260790633506,0.5431344445722294,0.3867662085438974
Study4,mean_Confidence,MAIA_EmoAware,63,0.33974434466078407,2.821305546320433,0.006446103475731624,0.10043347742427233,0.5418944534255526,0.3867662085438974
Study4,arousal_conf_r,MAIA_NotWorrying,61,-0.3348480926258569,-2.729590463845213,0.008345460039291756,-0.5410468450424405,-0.09067305962817886,0.41727300196458783
Study4,mean_arousal_overall,MAIA_BodyListen,63,0.29416428623942764,2.403855415134074,0.01927668865219662,0.05004684914002222,0.5051147272017589,0.826143799379855
Study4,mean_Confidence,MAIA_AttentionReg,63,0.28421407469549215,2.315262345279726,0.02397808638950734,0.03921015466789559,0.4969824439530168,0.8525345592169666
Study4,slope_hit_acc,MAIA_Noticing,63,-0.2812085454957613,-2.2886641437041675,0.025576036776508996,-0.49451866094655844,-0.035948151379215136,0.8525345592169666
Study4,slope_hit_acc,MAIA_BodyListen,63,-0.27037897746970313,-2.1934236418819957,0.03209828112140096,-0.4856126006378961,-0.024237634849766227,0.9629484336420288
Study4,mean_Confidence,MAIA_BodyListen,63,0.2622581411447404,2.1225972298832443,0.03785492960495259,0.015500292464918616,0.4789047134108575,0.9903863843384291
Study4,mean_Confidence,SPANE_Neg,63,-0.2579336418036147,-2.0850797476897465,0.04125438745740355,-0.4753222833156971,-0.0108628184221895,0.9903863843384291
Study4,arousal_salience_diff,SPANE_Neg,63,0.24843470693720462,2.003138186858236,0.04961113090712196,7.135985409272889e-4,0.46742794493244216,0.9903863843384291
Study4,mean_arousal_overall,MAIA_Trusting,63,0.245837343136462,1.9808408648081723,0.05212286565804365,-0.0020527207077094167,0.46526323977665346,0.9903863843384291
Study4,slope_hit_acc,MAIA_total,63,-0.24180690676950903,-1.9463308731471605,0.05622492008422601,-0.4618989733981828,0.006337833911699864,0.9903863843384291
Study4,slope_hit_dec,MAIA_NotDistracting,63,-0.22519201618892326,-1.8051728128884221,0.07598331654272154,-0.4479630800966751,0.02390689484769561,0.9903863843384291
Study4,mean_arousal_overall,MAIA_total,63,0.221704885375691,1.7757624701522305,0.0807599471928393,-0.02757485399514878,0.4450244078691183,0.9903863843384291
Study4,mean_arousal_overall,MAIA_Noticing,63,0.21967226774218376,1.7586525879931685,0.08365202162892846,-0.029709782599828316,0.4433092602033349,0.9903863843384291
Study4,mean_Confidence,MAIA_NotDistracting,63,-0.2108190733502122,-1.6844064686794729,0.0972137650893179,-0.435819677803995,0.038982136607696234,0.9903863843384291
Study4,mean_Confidence,SPANE_Pos,63,0.20725484065821273,1.6546392539444523,0.10313468423931589,-0.04270301336880569,0.4327956019000969,0.9903863843384291
Study4,slope_hit_overall,MAIA_EmoAware,63,-0.20637517778752532,-1.6473032687372708,0.10463814077811412,-0.43204846948843656,0.04362027084687656,0.9903863843384291
Study4,mean_Confidence,MAIA_SelfReg,63,0.2043178734917677,1.6301625439180394,0.10822056630686962,-0.045763854948380193,0.4302999094707577,0.9903863843384291
Study4,c_bias,BIPS_total,63,-0.20066141467892945,-1.5997536931170395,0.11482033450333877,-0.4271879925016976,0.04956798375681967,0.9903863843384291
