label,predictor,outcome,control,r,t_stat,df,p,ci_lo,ci_hi,n
thresh_breath_Low_Slower,MAIA_total_z,thresh_breath_Low_Slower,MSES_selfdoubt_z,0.13790508948706776,1.852406802091532,177,0.06563267863960821,NA,NA,180
thresh_breath_Low_Slower,MAIA_total_z,thresh_breath_Low_Slower,MSES_total_z,0.12836097991258805,1.7171055668927848,176,0.08771898602342743,NA,NA,180
thresh_breath_Low_Slower,MAIA_total_z,thresh_breath_Low_Slower,MSES_selfdoubt_z,0.12836097991258805,1.7171055668927848,176,0.08771898602342743,NA,NA,180
thresh_breath_Low_Slower,MAIA_BodyListen_z,thresh_breath_Low_Slower,none,0.12496496510239294,1.6804130818609766,178,0.0946310236227516,-0.02169488645061689,0.26635981325899377,180
thresh_breath_Low_Slower,MAIA_BodyListen_z,thresh_breath_Low_Slower,MSES_total_z,0.12183094944303609,1.6330199474153326,177,0.10424242299448647,NA,NA,180
thresh_breath_Low_Slower,MAIA_BodyListen_z,thresh_breath_Low_Slower,MSES_selfdoubt_z,0.1287716884306777,1.727579251075376,177,0.08580797120167974,NA,NA,180
thresh_breath_Low_Slower,MAIA_BodyListen_z,thresh_breath_Low_Slower,MSES_total_z,0.12233288121934781,1.6352109285808278,176,0.10379205733104048,NA,NA,180
thresh_breath_Low_Slower,MAIA_BodyListen_z,thresh_breath_Low_Slower,MSES_selfdoubt_z,0.12233288121934781,1.6352109285808278,176,0.10379205733104048,NA,NA,180
thresh_breath_Low_Slower,MAIA_Noticing_z,thresh_breath_Low_Slower,none,0.08287720590981663,1.109536905556887,178,0.2686953684660864,-0.06416389910823264,0.22639617224091246,180
thresh_breath_Low_Slower,MAIA_Noticing_z,thresh_breath_Low_Slower,MSES_total_z,0.08195451930508146,1.0940141503665137,177,0.2754353610362417,NA,NA,180
thresh_breath_Low_Slower,MAIA_Noticing_z,thresh_breath_Low_Slower,MSES_selfdoubt_z,0.0838534247024624,1.1195401657878798,177,0.2644266794250379,NA,NA,180
thresh_breath_Low_Slower,MAIA_Noticing_z,thresh_breath_Low_Slower,MSES_total_z,0.08605622171320591,1.1459158173266506,176,0.253385654812209,NA,NA,180
thresh_breath_Low_Slower,MAIA_Noticing_z,thresh_breath_Low_Slower,MSES_selfdoubt_z,0.08605622171320591,1.1459158173266506,176,0.253385654812209,NA,NA,180
thresh_breath_High_Faster,MAIA_total_z,thresh_breath_High_Faster,none,-0.029323021938703914,-0.39138620892063114,178,0.695979900168321,-0.17483648577073319,0.11744399853360106,180
thresh_breath_High_Faster,MAIA_total_z,thresh_breath_High_Faster,MSES_total_z,-0.005079602116717493,-0.06758058263592505,177,0.9461957920525795,NA,NA,180
thresh_breath_High_Faster,MAIA_total_z,thresh_breath_High_Faster,MSES_selfdoubt_z,-0.0653137547138339,-0.8708023472749484,177,0.38504159548277783,NA,NA,180
thresh_breath_High_Faster,MAIA_total_z,thresh_breath_High_Faster,MSES_total_z,-0.028256141032129582,-0.3750098068986461,176,0.7081046860824971,NA,NA,180
thresh_breath_High_Faster,MAIA_total_z,thresh_breath_High_Faster,MSES_selfdoubt_z,-0.028256141032129582,-0.3750098068986461,176,0.7081046860824971,NA,NA,180
thresh_breath_High_Faster,MAIA_BodyListen_z,thresh_breath_High_Faster,none,-0.10727819364418004,-1.439577360615209,178,0.15174332518959832,-0.24962468354154135,0.039606584877969045,180
thresh_breath_High_Faster,MAIA_BodyListen_z,thresh_breath_High_Faster,MSES_total_z,-0.09806426057249168,-1.3109789390540176,177,0.19156317320931696,NA,NA,180
thresh_breath_High_Faster,MAIA_BodyListen_z,thresh_breath_High_Faster,MSES_selfdoubt_z,-0.12073978717650326,-1.6181766625155392,177,0.10740513631372123,NA,NA,180
thresh_breath_High_Faster,MAIA_BodyListen_z,thresh_breath_High_Faster,MSES_total_z,-0.09883503440102503,-1.3176463190648502,176,0.18933469041099887,NA,NA,180
thresh_breath_High_Faster,MAIA_BodyListen_z,thresh_breath_High_Faster,MSES_selfdoubt_z,-0.09883503440102503,-1.3176463190648502,176,0.18933469041099887,NA,NA,180
thresh_breath_High_Faster,MAIA_Noticing_z,thresh_breath_High_Faster,none,0.05719070205603043,0.7642700363155873,178,0.4457182851003938,-0.08982398371330756,0.20176626404217757,180
thresh_breath_High_Faster,MAIA_Noticing_z,thresh_breath_High_Faster,MSES_total_z,0.058951139879310235,0.7856602713411309,177,0.43311699338311016,NA,NA,180
thresh_breath_High_Faster,MAIA_Noticing_z,thresh_breath_High_Faster,MSES_selfdoubt_z,0.0518391398346598,0.6906034512010685,177,0.4907194052077968,NA,NA,180
thresh_breath_High_Faster,MAIA_Noticing_z,thresh_breath_High_Faster,MSES_total_z,0.04262102870526543,0.5659461105269301,176,0.5721512795382147,NA,NA,180
thresh_breath_High_Faster,MAIA_Noticing_z,thresh_breath_High_Faster,MSES_selfdoubt_z,0.04262102870526543,0.5659461105269301,176,0.5721512795382147,NA,NA,180
thresh_breath_High_Slower,MAIA_total_z,thresh_breath_High_Slower,none,0.11008196399955424,1.4818019336747719,179,0.14015126161758015,-0.036359591688794816,0.2518952117463405,181
thresh_breath_High_Slower,MAIA_total_z,thresh_breath_High_Slower,MSES_total_z,0.10518603620120742,1.4111852219575953,178,0.15993545928715747,NA,NA,181
thresh_breath_High_Slower,MAIA_total_z,thresh_breath_High_Slower,MSES_selfdoubt_z,0.1405632314789205,1.8941531281425734,178,0.059826458616311994,NA,NA,181
thresh_breath_High_Slower,MAIA_total_z,thresh_breath_High_Slower,MSES_total_z,0.11997778603929943,1.607814551358513,177,0.10965811698553465,NA,NA,181
thresh_breath_High_Slower,MAIA_total_z,thresh_breath_High_Slower,MSES_selfdoubt_z,0.11997778603929943,1.607814551358513,177,0.10965811698553465,NA,NA,181
thresh_breath_High_Slower,MAIA_BodyListen_z,thresh_breath_High_Slower,none,5.427706067234241e-4,0.007261776867809875,179,0.9942140780608536,-0.1453264893803747,0.14638893627058833,181
thresh_breath_High_Slower,MAIA_BodyListen_z,thresh_breath_High_Slower,MSES_total_z,-0.00720917816782009,-0.09618493279964599,178,0.9234819024912118,NA,NA,181
thresh_breath_High_Slower,MAIA_BodyListen_z,thresh_breath_High_Slower,MSES_selfdoubt_z,0.007402570274713455,0.09876531192647346,178,0.9214357463928309,NA,NA,181
thresh_breath_High_Slower,MAIA_BodyListen_z,thresh_breath_High_Slower,MSES_total_z,-0.006133981688910622,-0.08160885392076707,177,0.9350499687420614,NA,NA,181
thresh_breath_High_Slower,MAIA_BodyListen_z,thresh_breath_High_Slower,MSES_selfdoubt_z,-0.006133981688910622,-0.08160885392076707,177,0.9350499687420614,NA,NA,181
thresh_breath_High_Slower,MAIA_Noticing_z,thresh_breath_High_Slower,none,0.047472250110055084,0.635852306511553,179,0.5256848107577408,-0.09907149520394577,0.19200055554686943,181
thresh_breath_High_Slower,MAIA_Noticing_z,thresh_breath_High_Slower,MSES_total_z,0.04609965506445428,0.6157006961520486,178,0.5388785420577835,NA,NA,181
thresh_breath_High_Slower,MAIA_Noticing_z,thresh_breath_High_Slower,MSES_selfdoubt_z,0.0506614385049051,0.6767769530775082,178,0.49942601808087395,NA,NA,181
thresh_breath_High_Slower,MAIA_Noticing_z,thresh_breath_High_Slower,MSES_total_z,0.054451104499595414,0.7255011544378275,177,0.46910276672368156,NA,NA,181
thresh_breath_High_Slower,MAIA_Noticing_z,thresh_breath_High_Slower,MSES_selfdoubt_z,0.054451104499595414,0.7255011544378275,177,0.46910276672368156,NA,NA,181
