study,condition,direction,n_pp,slope_M,slope_SD,t,df,p,cohens_dz,ci_lower,ci_upper
Study1A,hits,overall,181,-8.620915709985642,8.89426390779306,-13.040152631634381,180,8.536918707089725e-28,-0.9692669117263417,-9.925429321335397,-7.316402098635889
Study1A,misses,overall,65,-1.7059486582642653,33.611879492438895,-0.4091945465704931,64,0.683763102917135,-0.05075433697922261,-10.034564598826154,6.622667282297623
Study1A,hits,acceleration,154,-15.585498300008057,74.62262975893394,-2.59185381348866,153,0.010470528582613582,-0.2088575322305917,-27.465242186713695,-3.705754413302415
Study1A,misses,acceleration,20,0.898126067480934,65.7894707990303,0.06105143923065369,19,0.9519558738578502,0.01365151682439391,-29.892294057207877,31.688546192169742
Study1A,hits,deceleration,172,2.5671676021425816,82.21617575024261,0.40950685382809426,171,0.6826802377168772,0.031224604875093646,-9.80727558085217,14.941610785137335
Study2,hits,overall,166,-8.688920240573196,7.725405446816051,-14.491007233066831,165,3.1790675039298104e-31,-1.1247202881959093,-9.872813142101352,-7.505027339045041
Study2,misses,overall,130,-0.0522201407284105,61.57715359323677,-0.009669190223870909,129,0.9923001600397447,-8.480440826051111e-4,-10.737585201039625,10.633144919582806
Study2,hits,acceleration,166,-11.88424829447477,54.41773050211531,-2.813748881221272,165,0.005492192955368125,-0.2183892673365496,-20.22358599037247,-3.5449105985770735
Study2,misses,acceleration,81,5.264270903656213,84.22951479684342,0.5624921174861316,80,0.5753536265049692,0.062499124165125736,-13.360404250478034,23.888946057790456
Study2,hits,deceleration,166,2.7462341693112533,69.41765999148492,0.5097082236487424,165,0.6109369609183469,0.03956103057418124,-7.891793241727082,13.38426158034959
Study2,misses,deceleration,22,8.586079300364986,165.68111857368731,0.24307103918793502,21,0.8103088880510623,0.0518229196801704,-64.8728133946355,82.04497199536547
Study4,hits,overall,131,-0.4522409474656719,0.7088656983040846,-7.301995628338796,130,2.525917326766462e-11,-0.63797832022007706,-0.5747697292598649,-0.3297121656714788
Study4,misses,overall,131,-0.29327825583801925,1.0316295464993195,-3.2538066360217366,130,0.0014513414215299634,-0.2842864057482796,-0.47159738158760983,-0.11495913008842863
Study4,hits,acceleration,131,-0.016969394669539384,3.036121362539794,-0.06397096038278148,130,0.9490916107951064,-0.005589168759493873,-0.5417687365213764,0.5078299471822977
Study4,misses,acceleration,121,0.2185531279095266,4.847081515814082,0.49598596581494037,120,0.6208115194357392,0.04508963325590367,-0.653890878369864,1.090997134188917
Study4,hits,deceleration,129,-0.5453924752403784,3.5842131553338485,-1.728264333146651,128,0.08635234319066111,-0.15216518984892186,-1.1698063289442389,0.07902137846348219
Study4,misses,deceleration,126,-0.9762369821509134,2.7668397471055033,-3.9605593197019893,125,1.248017289067494e-4,-0.35283466748379344,-1.4640706419763563,-0.48840332232547046
Study5,hits,overall,185,-0.4293711384682659,0.6062272964650173,-9.633480562872158,184,4.8430678960884015e-18,-0.7082675771480096,-0.5173065135683899,-0.34143576336814196
Study5,misses,overall,184,-0.20238451155730625,1.0241198390987458,-2.6806209360483453,183,0.008019705615039084,-0.19761799726036972,-0.35134516741573557,-0.05342385569887689
Study5,hits,acceleration,185,-1.4813861186530244,2.9409293464428883,-6.851245722471988,184,1.0655977621842789e-10,-0.5037136034719059,-1.9079781357568621,-1.0547941015491868
Study5,misses,acceleration,173,0.8296656335740435,7.120220655840383,1.532613688154368,172,0.12720832582000263,0.11652246098490047,-0.2388601948473789,1.8981914619954658
Study5,hits,deceleration,185,-0.652831180992096,11.525161195349563,-0.7704416367755286,184,0.44202605740997214,-0.05664399568272549,-2.324595845354978,1.0189334833707862
Study5,misses,deceleration,176,-1.5643666725115064,3.732238313958169,-5.560649509280614,175,9.900350287917823e-8,-0.41914972756721985,-2.119599214102542,-1.0091341309204713
