id,miss_rate,n_trials,mean_arousal_overall,slope_hit_overall,slope_miss_overall,slope_hit_acc,slope_miss_acc,slope_hit_dec,slope_miss_dec,conf_acc_r,arousal_conf_r,arousal_salience_diff,thresh_c1,mean_Confidence,Awareness,c_bias,H_corr,FA_corr,dprime,MAIA_total,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionReg,MAIA_EmoAware,MAIA_SelfReg,MAIA_BodyListen,MAIA_Trusting,BARTtotalpoints,BIS,BAS_Drive,BAS_FunSeeking,study
1,0.17647058823529413,17,18.88235294117647,-15.635453965762501,-30.944625407166136,58.42271293375399,NA,-35.36842105263147,NA,0.1743905315918126,0.595225786144982,NA,0.575,19.12,0.2155377940304572,-0.9145278431379368,0.8055555555555556,0.8333333333333334,-0.10578744592752908,115,3.25,3,3,3,3,3,3,4,2810,1.28571428571429,2.25,1.75,Study2
10,0.17647058823529413,17,18,-5.323760213006608,-15.668202764976964,42.35294117647121,NA,78.68852459016384,NA,0.5261609330946969,-0.2597822496988549,NA,0.659375,36.44,0.4797323877005928,-0.7255449590119754,0.8055555555555556,0.7222222222222222,0.27217832232439376,113,3.25,2.5,3.6,3.14285714285714,3.6,2.75,3.33333333333333,2,2450,1.14285714285714,1.25,1,Study2
100,0.23529411764705882,17,34.470588235294116,-1.7739130434782544,-1.6161616161616232,11.176470588235254,-60.00000000000009,-7.305389221556882,NA,0.7721469604815336,0.4179535179072237,NA,0.175,36.08,0.5199570794077074,-0.04251697617315159,0.75,0.2777777777777778,1.2639455480458603,76,1,3.16666666666667,3.8,2,1,1.5,1,2,1430,1.71428571428571,1.75,1,Study2
101,0.29411764705882354,17,18.470588235294116,-5.958898492726046,-13.999999999999993,-3.7438423645320116,-13.999999999999993,20.30150753768847,NA,0.6404586277089318,-0.2788470122048408,NA,0.44375,36.76,0.2835147458967937,0.2294667534961724,0.6944444444444444,0.16666666666666666,1.475909625211058,147,4.25,5.66666666666667,1.4,4,4.4,3.75,3,5,2390,1.28571428571429,1.75,1,Study2
102,0.29411764705882354,17,24.529411764705884,-35.43668122270742,13.185840707964603,2.17391304347829,12.571428571428573,-11.052631578947384,NA,0.19805496872688794,-0.10663951341523593,NA,0.175,41.4,0.12763186756065775,0.5423653794568468,0.6944444444444444,0.05555555555555555,2.101706877132407,116,3.75,1.5,3,4.14285714285714,3.2,3.5,2.66666666666667,3.33333333333333,1850,2.14285714285714,0,0.75,Study2
103,0.17647058823529413,17,28.176470588235293,-20.30142566191447,9.999999999999996,-4.2105263157894806,NA,-31.44186046511631,NA,0.13610748779290055,-0.19238490047308504,NA,0.2125,34.28,0.35559849903010854,-0.13608916116219688,0.8055555555555556,0.2777777777777778,1.4510899180239507,124,3.5,1.83333333333333,2.8,4.71428571428571,4,2.75,2,5,3420,1.14285714285714,0.5,0.75,Study2
104,0.23529411764705882,17,29.41176470588235,-4.897620365246263,-6.658892128279882,-10.206896551724178,NA,5.66037735849047,NA,0.7049397488075141,0.0038872014927923025,NA,0.63125,36.4,0.37116611173587033,-0.6319727740229302,0.75,0.7222222222222222,0.08503395234630318,147,4.25,5,1.8,4.14285714285714,4,4.25,4.33333333333333,4,2720,1.57142857142857,0.25,0.25,Study2
105,0.23529411764705882,17,20.58823529411765,-13.152135545358277,7.145969498910677,-29.781021897810252,120.00000000000034,8.18181818181812,NA,0.4352331659865117,0.15101872666154456,NA,0.3375,29.88,0.3666557922122406,-0.04251697617315159,0.75,0.2777777777777778,1.2639455480458603,119,3.75,2.33333333333333,4.4,2.5714285714285694,4,2.75,2.33333333333333,4,2110,1.57142857142857,0.75,1,Study2
106,0.23529411764705882,17,36.529411764705884,-17.850923023336822,4.63611859838274,28.235294117647243,NA,-46.62921348314606,NA,-0.0671304939037981,-0.4246172899614021,NA,0.15625,34.84,-0.09523346337731876,0.14646590795280984,0.75,0.16666666666666666,1.641911316297783,140,4,2.33333333333333,4.2,4,4.6,4,3,4.33333333333333,4480,2.42857142857143,0.25,1.75,Study2
107,0.35294117647058826,17,19.294117647058822,-16.75225537820958,3.285899094437261,-89.99999999999994,-162.85714285714315,9.302325581395296,NA,0.2812854968316695,-0.312212246613994,NA,0.3375,41.48,0.1206647468686134,0.6188642000917597,0.6388888888888888,0.05555555555555555,1.948709235862581,119,3,3,3.2,3.28571428571429,4.6,1.25,3.33333333333333,4,4470,1.14285714285714,1.75,1.25,Study2
